uid,bd_earner_only,bd_members_respfor,bd_bizsector,e_total_employees,e_fulltime_employees,e_parttime_employees,e_casual_employees,e_male_employees,e_female_employees,e_related_employees,e_refugees_employees,Howmanyemployeesarefromthe,sr_bank_account,sr_pri_inc_sourcs,sr_access_newfunds,IfYesinQ31howhaveyouacce,sr_access,sr_access_1,sr_access_2,sr_access_3,sr_access_4,sr_access_5,sr_access_6,sr_access_7,sr_access_8,sr_access_9,sr_access_no,Onaveragehowmanycustomersd,sr_customers_hwmny,OUTLIERCHECKONTHENUMBEROFC,sr_customers_main,sr_records_keepb,sr_mnthly_sales_total,OUTLIERCHECKONTHEAVERAGEMON,sr_fluctuations,sr_revstreams_most,sr_revstreams_least,BI,BJ,BK,BL,Onascaleof1to5where1me,knwrate_sales,knwrate_ops_mgt,knwrate_invent_mgt,knwrate_bkeeping,knwrate_cashflow,skill_imprv1,skill_imprv2,skill_imprv3,skill_imprv4,Howmanymealsdoesyourhouseho,liv_meals_number_base,Inthelast4monthsdidyoubu,liv_assetsbght_4mnths,liv_cookingfuel,CB,CC,liv_expnseschl_3mnths,liv_expnsecooking,liv_expnsehhclthng,liv_expnserent,liv_expnsetrans_comm,aec_knowledge
part/KE16012104547,No,9,Shop & Retail,1,1,0,0,0,1,0,1,0,Yes,My Own Business,No,,She Has Not Accessed Any Finance,0,0,0,0,0,0,0,0,0,I Have Never Thought About Credit As An Option,I Have Never Thought About Credit As An Option,600,,Individuals From The Camp (Refugee Customers),No,3000,,"Yes, Somewhat Flactuating",October,Februrary,Competing Expenditure From Other Needs,,,,,2,1,1,1,1,Sales,Operations Management,Investment Readiness (How Ready Are You For Inves,Book Keeping,Cash Flow And Inventory Management,Twice A Day,Twice A Week,None,Charcoal,,,0,3000,0,1000,600,Aec-Kenya Staff
part/KE16012104548,Yes,6,Shop & Retail,1,1,0,0,0,1,0,1,0,No,My Own Business,No,,Personal Savings,0,1000,0,0,0,0,0,0,0,I Have Never Thought About Credit As An Option,I Have Never Thought About Credit As An Option,300,,"Individuals From The Camp (Refugee Customers), Individuals From Host Community (Turkana County)",No,40000,,"Yes, Somewhat Flactuating",December,January,Competing Expenditure From Other Needs,,,,,1,1,1,1,1,Sales,Book Keeping,Cash Flow And Inventory Management,,,Twice A Day,Once A Week,None,Firewood,Charcoal,,1000,1100,2000,200,500,"Fellow Entrepreneur/Business Owner, Aec-Kenya Staf"
part/KE16012104549,Yes,10,Fashion,1,1,0,0,0,0,0,0,0,No,My Own Business,Yes,Personal Savings,Personal Savings,0,30000,0,0,0,0,0,0,0,I Have Never Thought About Credit As An Option,I Have Never Thought About Credit As An Option,300,,Individuals From The Camp (Refugee Customers),No,20000,,"Yes, Somewhat Flactuating",December,January,Competing Expenditure From Other Needs,,,,,4,4,4,4,4,Sales,,,,,Twice A Day,Once A Week,None,Charcoal,,,0,2100,0,4000,600,Aec-Kenya Staff
part/KE16012104550,No,4,Shop & Retail,1,0,0,0,0,1,0,0,1,Yes,My Own Business,No,,None,0,0,0,0,0,0,0,0,0,I Have Never Thought About Credit As An Option,I Have Never Thought About Credit As An Option,450,,"Individuals From The Camp (Refugee Customers), Individuals From Host Community (Turkana County)",No,150000,,"Yes, Somewhat Flactuating",November,Februrary,Competing Expenditure From Other Needs,Less Supply Of Goods,,,,1,2,1,1,1,Sales,Operations Management,Investment Readiness (How Ready Are You For Inves,Book Keeping,Cash Flow And Inventory Management,Twice A Day,Twice A Week,None,Charcoal,,,0,700,5000,5000,1000,Aec-Kenya Staff
part/KE16012104551,Yes,4,Fashion,1,1,0,0,0,1,0,0,1,No,My Own Business,No,,Personal Savings,0,20000,0,0,0,0,0,0,0,"I Have Never Thought About Credit As An Option, I Do Not Trust Financial Institutions/Debt Makes Me",I Have Never Thought About Credit As An Option,300,,"Individuals From The Camp (Refugee Customers), Individuals From Host Community (Turkana County)",Yes,10000,,"Yes, Somewhat Flactuating",December,January,Competing Expenditure From Other Needs,,,,,3,4,3,3,4,Sales,Operations Management,Investment Readiness (How Ready Are You For Inves,Cash Flow And Inventory Management,,Three Times And More,Three Times A Week Or More,None,Charcoal,,,1000,900,2000,200,2000,Aec-Kenya Staff
part/KE16012104552,Yes,8,Kiosk,1,1,0,0,1,0,0,1,0,No,My Own Business,No,,Personal Savings,0,5000,0,0,0,0,0,0,0,"I Have Never Thought About Credit As An Option, I Do Not Trust Financial Institutions/Debt Makes Me",I Have Never Thought About Credit As An Option,450,,"Individuals From The Camp (Refugee Customers), Individuals From Host Community (Turkana County)",Yes,9000,,"Yes, Strongly Flactuating",December,January,Competing Expenditure From Other Needs,,,,,4,2,2,2,4,Sales,Operations Management,Book Keeping,Cash Flow And Inventory Management,,Three Times And More,Twice A Week,None,Firewood,,,300,400,1000,200,700,Aec-Kenya Staff
part/KE16012104553,Yes,11,Shop & Retail,2,2,1,0,0,2,0,2,0,Yes,My Own Business,No,,She Has Not Accessed Any New Loans,0,0,0,0,0,0,0,0,0,I Have Never Thought About Credit As An Option,I Have Never Thought About Credit As An Option,30,,Individuals From The Camp (Refugee Customers),No,5000,,"Yes, Somewhat Flactuating",December,Februrary,Competing Expenditure From Other Needs,,,,,3,3,4,4,3,Sales,Operations Management,Investment Readiness (How Ready Are You For Inves,Book Keeping,Cash Flow And Inventory Management,Twice A Day,Three Times A Week Or More,None,Firewood,,,0,0,0,0,1500,Aec-Kenya Staff
part/KE16012104554,Yes,7,Fashion,6,6,0,0,1,4,0,5,0,Yes,My Own Business,Yes,Personal Savings,Personal Savings,0,50000,0,0,0,0,0,0,0,I Have Never Thought About Credit As An Option,I Have Never Thought About Credit As An Option,300,,Individuals From The Camp (Refugee Customers),No,8000,,"Yes, Somewhat Flactuating",December,January,Competing Expenditure From Other Needs,,,,,4,5,4,4,3,Sales,,,,,Twice A Day,Once A Week,None,Charcoal,,,1000,2100,0,3000,1500,Client Is Not Aware About Aec
part/KE16012104555,Yes,1,Ict,3,3,0,0,2,1,0,3,0,Yes,My Own Business,No,,Personal Savings,0,107000,0,0,0,0,0,0,0,I Do Not Trust Financial Institutions/Debt Makes Me Uncomfortable,I Do Not Trust Financial Institutions/Debt Makes Me Uncomfortable,1000,,"Individuals From The Camp (Refugee Customers), Individuals From Host Community (Turkana County)",Yes,30000,,"Yes, Somewhat Flactuating",January,March,Competing Expenditure From Other Needs,Disruption Of Supply Chain,Electricity Interruption,,,4,4,3,4,3,Sales,Investment Readiness (How Ready Are You For Inves,Book Keeping,Cash Flow And Inventory Management,,Three Times And More,Once A Week,None,Charcoal,,,0,900,2000,200,2000,Aec-Kenya Staff
part/KE16012104556,Yes,4,Ict,1,1,1,0,2,0,1,0,2,Yes,My Own Business,No,,Personal Savings,0,100000,0,0,0,0,0,0,0,I Do Not Trust Financial Institutions/Debt Makes Me Uncomfortable,I Do Not Trust Financial Institutions/Debt Makes Me Uncomfortable,800,,"Individuals From The Camp (Refugee Customers), Individuals From Host Community (Turkana County)",Yes,25000,,"Yes, Somewhat Flactuating",Februrary,November,Competing Expenditure From Other Needs,Disruption Of Supply Chain,Intermittent Network,,,4,4,4,4,4,Sales,Investment Readiness (How Ready Are You For Inves,Book Keeping,Cash Flow And Inventory Management,,Three Times And More,Twice A Week,None,Charcoal,,,6000,2500,3000,200,1500,Aec-Kenya Staff
part/KE16012104557,Yes,7,Shop & Retail,1,1,1,0,0,0,0,0,0,No,My Own Business,No,,Loan From Family/Friends,0,0,0,7000,0,0,0,0,0,I Have Never Thought About Credit As An Option,I Have Never Thought About Credit As An Option,300,,Individuals From The Camp (Refugee Customers),No,12000,,"Yes, Somewhat Flactuating",December,January,Competing Expenditure From Other Needs,,,,,4,4,4,4,4,Sales,,,,,Twice A Day,Once A Week,None,Firewood,,,0,1400,0,0,1000,Aec-Kenya Staff
part/KE16012104558,Yes,9,Grocery,1,1,0,0,0,1,0,1,0,No,My Own Business,No,,Personal Savings,200,400,0,0,0,0,0,0,0,I Do Not Trust Financial Institutions/Debt Makes Me Uncomfortable,I Do Not Trust Financial Institutions/Debt Makes Me Uncomfortable,300,,"Individuals From The Camp (Refugee Customers), Individuals From Host Community (Turkana County)",No,9000,,"Yes, Strongly Flactuating",December,Februrary,Competing Expenditure From Other Needs,,,,,2,2,2,2,2,Sales,Book Keeping,Cash Flow And Inventory Management,,,Once A Day,Once A Week,None,Firewood,Charcoal,,200,800,1000,0,500,Aec-Kenya Staff
part/KE16012104559,Yes,5,Fashion,4,4,0,0,2,1,0,3,0,Yes,My Own Business,No,,Personal Savings,0,50000,0,0,0,0,0,0,0,I Have Never Thought About Credit As An Option,I Have Never Thought About Credit As An Option,600,,Individuals From The Camp (Refugee Customers),No,20000,,"Yes, Somewhat Flactuating",December,January,Competing Expenditure From Other Needs,,,,,4,4,4,4,4,Sales,Investment Readiness (How Ready Are You For Inves,,,,Twice A Day,Once A Week,None,Charcoal,,,0,1400,0,0,1000,Aec-Kenya Staff
part/KE16012104560,Yes,4,Shop & Retail,6,6,0,0,3,2,0,5,0,Yes,My Own Business,No,,Personal Savings,0,6000,0,0,0,0,0,0,0,I Have Never Thought About Credit As An Option,I Have Never Thought About Credit As An Option,1500,,Individuals From The Camp (Refugee Customers),Yes,210000,Outlier,"No, Very Stable",December,January,Competing Expenditure From Other Needs,,,,,4,4,4,4,4,Sales,,,,,Three Times And More,Twice A Week,None,Charcoal,,,1750,1400,3500,0,4500,Aec-Kenya Staff
part/KE16012104561,Yes,3,Shop & Wholesale,2,3,0,0,0,2,1,0,2,Yes,My Own Business,No,,He Has Not Accessed Any New Loans,0,0,0,0,0,0,0,0,0,I Have Never Thought About Credit As An Option,I Have Never Thought About Credit As An Option,600,,Individuals From The Camp (Refugee Customers),Yes,16000,,"Yes, Somewhat Flactuating",March,January,Competing Expenditure From Other Needs,,,,,3,3,3,3,3,Sales,Operations Management,Investment Readiness (How Ready Are You For Inves,Book Keeping,Cash Flow And Inventory Management,Three Times And More,Twice A Week,None,Charcoal,,,35000,700,6000,6000,1000,Fellow Entrepreneur/Business Owner
part/KE16012104562,Yes,2,Fashion,1,1,0,0,0,0,0,0,0,Yes,My Own Business,No,,"Personal Savings, Loan From Family/Friends",0,0,0,100000,0,0,0,0,0,I Have Never Thought About Credit As An Option,I Have Never Thought About Credit As An Option,600,,Individuals From The Camp (Refugee Customers),No,30000,,"Yes, Somewhat Flactuating",December,January,Competing Expenditure From Other Needs,,,,,4,4,4,4,4,Sales,Investment Readiness (How Ready Are You For Inves,,,,Three Times And More,Twice A Week,None,Charcoal,,,0,700,2500,0,1000,Aec-Kenya Staff
part/KE16012104563,Yes,6,Shop & Retail,1,1,0,0,0,1,0,0,1,Yes,My Own Business,No,,She Has Not Accessed Any Loans,0,0,0,0,0,0,0,0,0,I Have Never Thought About Credit As An Option,I Have Never Thought About Credit As An Option,60,,Individuals From The Camp (Refugee Customers),No,15000,,"Yes, Somewhat Flactuating",October,Februrary,Competing Expenditure From Other Needs,,,,,3,3,3,3,3,Sales,Operations Management,Investment Readiness (How Ready Are You For Inves,Book Keeping,Cash Flow And Inventory Management,Twice A Day,Twice A Week,None,Firewood,,,31000,600,3000,0,2000,Aec-Kenya Staff
part/KE16012104564,No,4,Grocery,1,1,0,0,0,1,0,0,1,No,My Own Business,No,,Personal Savings,0,6000,0,0,0,0,0,0,0,"I Have Never Thought About Credit As An Option, Small Business",I Have Never Thought About Credit As An Option,150,,"Individuals From The Camp (Refugee Customers), Individuals From Host Community (Turkana County)",No,30000,,"Yes, Somewhat Flactuating",November,Februrary,Competing Expenditure From Other Needs,,,,,2,2,3,3,3,Sales,Book Keeping,Cash Flow And Inventory Management,,,Twice A Day,Twice A Week,"Chairs, Tables, Bed, Or Other Furniture",Charcoal,,,3000,900,1000,4000,500,"Fellow Entrepreneur/Business Owner, Aec-Kenya Staf"
part/KE16012104565,No,4,Shop & Retail,2,2,0,0,1,1,0,1,1,Yes,My Own Business,No,,Personal Savings,0,0,0,0,0,0,0,0,0,I Do Not Trust Financial Institutions/Debt Makes Me Uncomfortable,I Do Not Trust Financial Institutions/Debt Makes Me Uncomfortable,1500,,"Individuals From The Camp (Refugee Customers), Individuals From Host Community (Turkana County)",Yes,70000,,"Yes, Somewhat Flactuating",December,January,Competing Expenditure From Other Needs,,,,,5,5,4,4,4,Investment Readiness (How Ready Are You For Invest,,,,,Three Times And More,Three Times A Week Or More,None,Gas,Charcoal,,8000,2000,3000,200,2000,Aec-Kenya Staff
part/KE16012104566,Yes,5,Shop & Wholesale,1,1,0,0,1,0,0,1,0,Yes,My Own Business,No,,He Has Not Accessed Any,0,0,0,0,0,0,0,0,0,I Have Never Thought About Credit As An Option,I Have Never Thought About Credit As An Option,4500,Outlier,Individuals From The Camp (Refugee Customers),Yes,70000,,"Yes, Somewhat Flactuating",November,Februrary,Competing Expenditure From Other Needs,,,,,2,2,2,2,2,Sales,Operations Management,Investment Readiness (How Ready Are You For Inves,Book Keeping,Cash Flow And Inventory Management,Twice A Day,Twice A Week,None,Firewood,Charcoal,,0,3000,15000,0,100000,Aec-Kenya Staff
part/KE16012104567,No,9,Shop & Retail,1,1,0,0,0,1,0,1,0,Yes,My Own Business,No,,She Has Not Accessed Any New Loans,0,0,0,0,0,0,0,0,0,I Have Never Thought About Credit As An Option,I Have Never Thought About Credit As An Option,200,,Individuals From The Camp (Refugee Customers),No,120000,,"Yes, Somewhat Flactuating",November,Februrary,Competing Expenditure From Other Needs,,,,,4,3,3,3,3,Sales,Operations Management,Investment Readiness (How Ready Are You For Inves,Book Keeping,Cash Flow And Inventory Management,Three Times And More,Twice A Week,None,Firewood,Charcoal,,80000,1400,1500,0,1500,Aec-Kenya Staff
part/KE16012104568,Yes,1,Professional/Business Services,3,3,0,0,2,1,0,1,2,Yes,My Own Business,Yes,Loan From Family/Friends,Loan From Family/Friends,0,0,0,35000,0,0,0,0,0,"I Do Not Qualify For Credit, Or I Applied And Was Rejected","I Do Not Qualify For Credit, Or I Applied And Was Rejected",600,,Individuals From The Camp (Refugee Customers),Yes,10000,,"No, Somewhat Stable",December,January,Competing Expenditure From Other Needs,,,,,4,4,3,4,3,Sales,Operations Management,,,,Twice A Day,Twice A Week,None,Charcoal,,,0,700,2600,1500,1500,Aec-Kenya Staff
part/KE16012104569,Yes,3,Shop & Retail,2,2,0,0,1,1,1,2,0,Yes,My Own Business,No,,She Has Not Accessed Any Loan,0,0,0,0,0,0,0,0,0,I Have Never Thought About Credit As An Option,I Have Never Thought About Credit As An Option,30,,Individuals From The Camp (Refugee Customers),Yes,27000,,"Yes, Somewhat Flactuating",December,January,Competing Expenditure From Other Needs,,,,,3,3,3,3,3,Sales,Operations Management,Investment Readiness (How Ready Are You For Inves,Book Keeping,Cash Flow And Inventory Management,Three Times And More,Three Times A Week Or More,None,Charcoal,,,10000,600,10000,0,1500,Fellow Entrepreneur/Business Owner
part/KE16012104570,Yes,13,Clinic,4,4,1,0,2,2,0,0,4,Yes,My Own Business,No,,Personal Savings,0,400000,0,0,0,0,0,0,0,I Do Not Trust Financial Institutions/Debt Makes Me Uncomfortable,I Do Not Trust Financial Institutions/Debt Makes Me Uncomfortable,2000,Outlier,"Individuals From The Camp (Refugee Customers), Individuals From Host Community (Turkana County)",Yes,300000,Outlier,"Yes, Somewhat Flactuating",December,January,Competing Expenditure From Other Needs,Disruption Of Supply Chain,,,,5,4,5,5,5,Sales,Operations Management,Investment Readiness (How Ready Are You For Inves,Book Keeping,Cash Flow And Inventory Management,Three Times And More,Three Times A Week Or More,None,Gas,Charcoal,,50000,4000,5000,500,3000,Aec-Kenya Staff
part/KE16012104571,Yes,9,Professional/Business Services,1,1,0,0,0,0,0,0,0,No,My Own Business,No,,Personal Savings,0,80000,0,0,0,0,0,0,0,I Have Never Thought About Credit As An Option,I Have Never Thought About Credit As An Option,300,,Individuals From The Camp (Refugee Customers),No,15000,,"Yes, Somewhat Flactuating",December,January,Competing Expenditure From Other Needs,,,,,4,4,4,4,4,Sales,,,,,Twice A Day,Once A Week,None,Charcoal,,,0,1400,0,0,600,Aec-Kenya Staff
part/KE16012104572,Yes,10,Charging,1,1,0,0,1,0,0,1,0,Yes,My Own Business,No,,"Personal Savings, Loan From Family/Friends",0,15000,0,5000,0,0,0,0,0,I Have Never Thought About Credit As An Option,I Have Never Thought About Credit As An Option,200,,"Individuals From The Camp (Refugee Customers), Individuals From Host Community (Turkana County)",Yes,10000,,"Yes, Somewhat Flactuating",December,January,Competing Expenditure From Other Needs,,,,,3,3,4,4,4,Sales,Book Keeping,Cash Flow And Inventory Management,,,Twice A Day,Twice A Week,Phone,Firewood,Charcoal,,500,900,1200,400,500,Aec-Kenya Staff
part/KE16012104573,No,5,Grocery,4,1,0,3,3,0,0,3,1,Yes,My Own Business,No,,Personal Savings,0,20000,0,0,0,0,0,0,0,"I Have Never Thought About Credit As An Option, I Do Not Trust Financial Institutions/Debt Makes Me",I Have Never Thought About Credit As An Option,1000,,"Individuals From The Camp (Refugee Customers), Individuals From Host Community (Turkana County), Sma",No,100000,,"Yes, Strongly Flactuating",December,January,Poor Weather,Competing Expenditure From Other Needs,Less Supply Of Goods,Disruption Of Supply Chain,High Transportation Costs,2,4,2,4,3,Sales,Operations Management,Book Keeping,Cash Flow And Inventory Management,,Three Times And More,Three Times A Week Or More,None,Gas,Electricity,Firewood,50000,4000,4000,200,2000,Aec-Kenya Staff
part/KE16012104574,Yes,5,Shop & Retail,1,0,0,0,0,1,0,0,1,No,My Own Business,No,,Personal Savings,0,0,10000,0,0,0,0,0,0,I Have Never Thought About Credit As An Option,I Have Never Thought About Credit As An Option,100,,"Individuals From The Camp (Refugee Customers), Individuals From Host Community (Turkana County)",No,30000,,"Yes, Somewhat Flactuating",December,January,Competing Expenditure From Other Needs,Less Supply Of Goods,Disruption Of Supply Chain,,,3,3,3,3,3,Sales,Book Keeping,Cash Flow And Inventory Management,,,Twice A Day,Once A Week,"Chairs, Tables, Bed, Or Other Furniture",Firewood,Charcoal,,1100,900,1000,400,700,Aec-Kenya Staff
part/KE16012104575,Yes,7,Personal Services,2,2,0,0,2,0,0,2,0,No,My Own Business,No,,Loan From Family/Friends,0,0,0,30000,0,0,0,0,0,I Have Never Thought About Credit As An Option,I Have Never Thought About Credit As An Option,100,,"Individuals From The Camp (Refugee Customers), Individuals From Host Community (Turkana County)",No,15000,,"Yes, Strongly Flactuating",November,Februrary,Competing Expenditure From Other Needs,,,,,4,3,3,4,4,Sales,Book Keeping,Cash Flow And Inventory Management,,,Twice A Day,Once A Week,None,Firewood,Charcoal,,300,900,1000,1900,700,"Fellow Entrepreneur/Business Owner, Aec-Kenya Staf"
part/KE16012104576,Yes,4,Grocery,1,1,0,0,1,0,0,1,0,Yes,My Own Business,No,,Personal Savings,0,3000,0,0,0,0,0,0,0,"I Have Never Thought About Credit As An Option, I Do Not Trust Financial Institutions/Debt Makes Me",I Have Never Thought About Credit As An Option,300,,"Individuals From The Camp (Refugee Customers), Individuals From Host Community (Turkana County)",No,15000,,"Yes, Strongly Flactuating",December,January,Competing Expenditure From Other Needs,Disruption Of Supply Chain,,,,3,3,2,2,2,Sales,Operations Management,Book Keeping,Cash Flow And Inventory Management,,Three Times And More,Twice A Week,"Chairs, Tables, Bed, Or Other Furniture",Firewood,Charcoal,,3000,1200,3000,200,3000,"Fellow Entrepreneur/Business Owner, Aec-Kenya Staf"
part/KE16012104577,No,17,Shop & Retail,1,1,0,0,0,0,0,0,0,Yes,My Own Business,No,,Personal Savings,0,10000,0,0,0,0,0,0,0,I Have Never Thought About Credit As An Option,I Have Never Thought About Credit As An Option,600,,Individuals From The Camp (Refugee Customers),Yes,30000,,"No, Somewhat Stable",December,January,Competing Expenditure From Other Needs,,,,,4,4,4,3,4,Sales,,,,,Twice A Day,Once A Week,None,Charcoal,,,0,2100,0,0,600,Aec-Kenya Staff
part/KE16012104578,Yes,5,Fashion,1,1,0,0,1,0,0,0,1,Yes,My Own Business,No,,Personal Savings,0,0,0,0,0,0,0,0,0,I Do Not Trust Financial Institutions/Debt Makes Me Uncomfortable,I Do Not Trust Financial Institutions/Debt Makes Me Uncomfortable,450,,"Individuals From The Camp (Refugee Customers), Individuals From Host Community (Turkana County)",Yes,90000,,"Yes, Strongly Flactuating",December,January,Competing Expenditure From Other Needs,,,,,4,3,3,3,3,Sales,Operations Management,Investment Readiness (How Ready Are You For Inves,Book Keeping,Cash Flow And Inventory Management,Three Times And More,Once A Week,None,Charcoal,,,200,1200,1000,5000,1000,Aec-Kenya Staff
part/KE16012104579,Yes,4,Shop & Retail,1,1,0,0,1,0,0,1,0,Yes,My Own Business,No,,Personal Savings,0,0,0,0,0,0,0,0,0,I Do Not Trust Financial Institutions/Debt Makes Me Uncomfortable,I Do Not Trust Financial Institutions/Debt Makes Me Uncomfortable,900,,"Individuals From The Camp (Refugee Customers), Individuals From Host Community (Turkana County)",Yes,10000,,"Yes, Somewhat Flactuating",December,January,Competing Expenditure From Other Needs,Disruption Of Supply Chain,High Transportation Costs,,,3,5,5,5,5,Sales,Investment Readiness (How Ready Are You For Inves,Book Keeping,Cash Flow And Inventory Management,,Twice A Day,Twice A Week,None,Firewood,Charcoal,,0,900,3000,200,1500,Aec-Kenya Staff
part/KE16012104580,Yes,12,Welding,4,1,3,0,4,0,0,4,0,No,My Own Business,No,,Personal Savings,0,1000000,0,0,0,0,0,0,0,"I Have Never Thought About Credit As An Option, I Do Not Trust Financial Institutions/Debt Makes Me",I Have Never Thought About Credit As An Option,1000,,"Individuals From The Camp (Refugee Customers), Individuals From Host Community (Turkana County), Sma",No,40000,,"Yes, Somewhat Flactuating",December,January,Competing Expenditure From Other Needs,,,,,2,2,2,2,2,Sales,Operations Management,Book Keeping,Cash Flow And Inventory Management,,Twice A Day,Three Times A Week Or More,None,Firewood,,,200,500,5000,200,1000,"Fellow Entrepreneur/Business Owner, Aec-Kenya Staf"
part/KE16012104581,Yes,2,Shop & Retail,5,4,0,0,2,2,0,1,3,Yes,My Own Business,No,,Personal Savings,0,150000,0,0,0,0,0,0,0,I Have Never Thought About Credit As An Option,I Have Never Thought About Credit As An Option,25,,Individuals From The Camp (Refugee Customers),Yes,40000,,"No, Somewhat Stable",December,January,Competing Expenditure From Other Needs,,,,,3,4,4,4,4,Sales,Book Keeping,,,,Three Times And More,Twice A Week,None,Charcoal,,,0,800,0,3700,4500,Fellow Entrepreneur/Business Owner
part/KE16012104582,Yes,11,Grocery,2,2,0,0,1,1,1,2,0,Yes,My Own Business,No,,Personal Savings,200,3000,0,0,0,0,0,0,0,I Do Not Trust Financial Institutions/Debt Makes Me Uncomfortable,I Do Not Trust Financial Institutions/Debt Makes Me Uncomfortable,600,,"Individuals From The Camp (Refugee Customers), Individuals From Host Community (Turkana County)",No,10000,,"Yes, Somewhat Flactuating",December,January,Competing Expenditure From Other Needs,,,,,3,3,3,3,3,Sales,Operations Management,Book Keeping,Cash Flow And Inventory Management,,Twice A Day,Three Times A Week Or More,None,Charcoal,,,200,900,3000,300,1000,Aec-Kenya Staff
part/KE16012104583,Yes,1,Shop & Retail,1,1,0,0,1,0,0,1,0,Yes,My Own Business,No,,Personal Savings,0,0,0,0,0,0,0,0,0,"I Have Never Thought About Credit As An Option, I Do Not Trust Financial Institutions/Debt Makes Me",I Have Never Thought About Credit As An Option,1000,,"Individuals From The Camp (Refugee Customers), Individuals From Host Community (Turkana County)",Yes,40000,,"Yes, Somewhat Flactuating",December,January,Competing Expenditure From Other Needs,,,,,4,4,3,3,3,Sales,Operations Management,Investment Readiness (How Ready Are You For Inves,Cash Flow And Inventory Management,,Twice A Day,Twice A Week,None,Charcoal,,,0,900,3000,200,3000,Aec-Kenya Staff
part/KE16012104584,Yes,6,Shop & Retail,2,2,0,0,1,0,0,1,0,Yes,My Own Business,No,,Personal Savings,0,5000,0,0,0,0,0,0,0,I Have Never Thought About Credit As An Option,I Have Never Thought About Credit As An Option,600,,Individuals From The Camp (Refugee Customers),No,15000,,"No, Somewhat Stable",December,January,Competing Expenditure From Other Needs,,,,,4,4,4,4,3,Sales,Investment Readiness (How Ready Are You For Inves,,,,Twice A Day,Once A Week,None,Charcoal,,,0,1400,0,0,600,Aec-Kenya Staff
part/KE16012104585,Yes,8,Shop & Retail,2,0,0,0,1,1,0,2,0,No,My Own Business,No,,She Has Not Accessed Any New Loans,0,0,0,0,0,0,0,0,0,I Have Never Thought About Credit As An Option,I Have Never Thought About Credit As An Option,600,,"Individuals From The Camp (Refugee Customers), Individuals From Host Community (Turkana County)",No,80000,,"Yes, Somewhat Flactuating",December,March,Competing Expenditure From Other Needs,,,,,3,3,3,4,3,Sales,Operations Management,Investment Readiness (How Ready Are You For Inves,Book Keeping,Cash Flow And Inventory Management,Twice A Day,Twice A Week,None,Firewood,,,7000,600,3000,0,1000,Aec-Kenya Staff
part/KE16012104586,Yes,6,Fashion,2,2,0,0,2,0,1,2,0,Yes,My Own Business,No,,Personal Savings,0,0,0,0,0,0,0,0,0,"I Have Never Thought About Credit As An Option, I Do Not Trust Financial Institutions/Debt Makes Me",I Have Never Thought About Credit As An Option,300,,"Individuals From The Camp (Refugee Customers), Individuals From Host Community (Turkana County)",No,30000,,"Yes, Somewhat Flactuating",December,January,Competing Expenditure From Other Needs,,,,,3,2,2,2,2,Operations Management,Investment Readiness (How Ready Are You For Inves,Book Keeping,Cash Flow And Inventory Management,,Twice A Day,Twice A Week,None,Firewood,,,0,500,2500,200,1500,Aec-Kenya Staff
part/KE16012104587,No,12,Shop & Retail,3,2,1,1,1,2,1,3,0,Yes,My Own Business,No,,She Has Not Accessed Any New Loans,0,0,0,0,0,0,0,0,0,I Have Never Thought About Credit As An Option,I Have Never Thought About Credit As An Option,300,,"Individuals From The Camp (Refugee Customers), Individuals From Host Community (Turkana County)",Yes,300000,Outlier,"Yes, Somewhat Flactuating",July,January,Competing Expenditure From Other Needs,,,,,3,3,3,3,3,Sales,Operations Management,Investment Readiness (How Ready Are You For Inves,Book Keeping,Cash Flow And Inventory Management,Twice A Day,Twice A Week,None,Charcoal,,,20000,1200,18000,0,3000,Aec-Kenya Staff
part/KE16012104588,Yes,1,Shop & Retail,1,1,0,0,1,0,0,1,0,Yes,My Own Business,No,,Personal Savings,0,80000,0,0,0,0,0,0,0,I Have Never Thought About Credit As An Option,I Have Never Thought About Credit As An Option,20,,"Individuals From The Camp (Refugee Customers), Large Businesses",No,20000,,"No, Very Stable",December,January,Competing Expenditure From Other Needs,,,,,4,4,4,4,4,Sales,,,,,Three Times And More,Three Times A Week Or More,None,Firewood,Charcoal,,0,1000,0,0,1000,Aec-Kenya Staff
part/KE16012104589,Yes,3,Shop & Retail,1,2,1,0,1,1,1,2,0,Yes,Unhcr Stipend,No,,He Has Not Accessed Any New Loans,0,0,0,0,0,0,0,0,0,I Have Never Thought About Credit As An Option,I Have Never Thought About Credit As An Option,200,,"Individuals From The Camp (Refugee Customers), Individuals From Host Community (Turkana County)",No,90000,,"No, Somewhat Stable",December,Februrary,Competing Expenditure From Other Needs,,,,,3,3,3,3,3,Sales,Operations Management,Investment Readiness (How Ready Are You For Inves,Book Keeping,Cash Flow And Inventory Management,Twice A Day,Twice A Week,None,Firewood,,,5000,3000,3000,0,3000,Fellow Entrepreneur/Business Owner
